驚いた,I feel astonished,High arousal
私は心配していると感じます,I feel alarmed,High arousal
私は怒っている,I feel angry,High arousal
わくわくしてるよ,I feel excited,High arousal
私は恐れていると感じます,I feel afraid,High arousal
私は驚いています,I am astonished,High arousal
私は心配しています,I am alarmed,High arousal
怒っている,I am angry,High arousal
わくわくしてます,I am excited,High arousal
怖いです,I am afraid,High arousal
驚いた,we feel astonished,High arousal
私たちは心配していると感じます,we feel alarmed,High arousal
私たちは怒っています,we feel angry,High arousal
興奮しています,we feel excited,High arousal
私たちは恐れています,we feel afraid,High arousal
私たちは驚いています,we are astonished,High arousal
私たちは心配しています,we are alarmed,High arousal
私たちは怒っている,we are angry,High arousal
私たちは興奮しています,we are excited,High arousal
私たちは恐れています,we are afraid,High arousal
私は疲れを感じる,I feel tired,Low arousal
ねむい,I feel sleepy,Low arousal
落ち着いています,I feel calm,Low arousal
私は満足していると感じています,I feel satisfied,Low arousal
私は落ち込んでいます,I feel depressed,Low arousal
私は疲れました,I am tired,Low arousal
私は眠いです,I am sleepy,Low arousal
私は落ち着いています,I am calm,Low arousal
私は満足しています,I am satisfied,Low arousal
私は落ち込んでいます,I am depressed,Low arousal
私たちは疲れを感じます,we feel tired,Low arousal
眠くなります,we feel sleepy,Low arousal
私たちは落ち着いています,we feel calm,Low arousal
私たちは満足していると感じています,we feel satisfied,Low arousal
落ち込んでいると感じます,we feel depressed,Low arousal
私たちは疲れています,we are tired,Low arousal
私たちは眠いです,we are sleepy,Low arousal
私たちは落ち着いています,we are calm,Low arousal
私たちは満足しています,we are satisfied,Low arousal
私たちは落ち込んでいます,we are depressed,Low arousal
驚いた,I feel astonished,I
私は心配していると感じます,I feel alarmed,I
私は怒っている,I feel angry,I
わくわくしてるよ,I feel excited,I
私は恐れていると感じます,I feel afraid,I
私は驚いています,I am astonished,I
私は心配しています,I am alarmed,I
怒っている,I am angry,I
わくわくしてます,I am excited,I
怖いです,I am afraid,I
私は疲れを感じる,I feel tired,I
ねむい,I feel sleepy,I
落ち着いています,I feel calm,I
私は満足していると感じています,I feel satisfied,I
私は落ち込んでいます,I feel depressed,I
私は疲れました,I am tired,I
私は眠いです,I am sleepy,I
私は落ち着いています,I am calm,I
私は満足しています,I am satisfied,I
私は落ち込んでいます,I am depressed,I
驚いた,we feel astonished,WE
私たちは心配していると感じます,we feel alarmed,WE
私たちは怒っています,we feel angry,WE
興奮しています,we feel excited,WE
私たちは恐れています,we feel afraid,WE
私たちは驚いています,we are astonished,WE
私たちは心配しています,we are alarmed,WE
私たちは怒っている,we are angry,WE
私たちは興奮しています,we are excited,WE
私たちは恐れています,we are afraid,WE
私たちは疲れを感じます,we feel tired,WE
眠くなります,we feel sleepy,WE
私たちは落ち着いています,we feel calm,WE
私たちは満足していると感じています,we feel satisfied,WE
落ち込んでいると感じます,we feel depressed,WE
私たちは疲れています,we are tired,WE
私たちは眠いです,we are sleepy,WE
私たちは落ち着いています,we are calm,WE
私たちは満足しています,we are satisfied,WE
私たちは落ち込んでいます,we are depressed,WE