我感到开心,I feel happy,Positive valence
我很高兴,I feel pleased,Positive valence
我很高兴,I feel delighted,Positive valence
我感到满意,I feel satisfied,Positive valence
我觉得很兴奋,I feel excited,Positive valence
我很开心,I am happy,Positive valence
我很满意,I am pleased,Positive valence
我很高兴,I am delighted,Positive valence
我很满意,I am satisfied,Positive valence
我很兴奋,I am excited,Positive valence
我们感到高兴,We feel happy,Positive valence
我们感到高兴,We feel pleased,Positive valence
我们感到很高兴,We feel delighted,Positive valence
我们感到满意,We feel satisfied,Positive valence
我们感到兴奋,We feel excited,Positive valence
我们很开心,We are happy,Positive valence
我们很满意,We are pleased,Positive valence
我们很高兴,We are delighted,Positive valence
我们很满意,We are satisfied,Positive valence
我们很兴奋,We are excited,Positive valence
我感到很痛苦,I feel miserable,Negative valence
我感到沮丧,I feel frustrated,Negative valence
我很难过,I feel sad,Negative valence
我感到沮丧,I feel depressed,Negative valence
我感到害怕,I feel afraid,Negative valence
我很痛苦,I am miserable,Negative valence
我烦了,I am frustrated,Negative valence
我很伤心,I am sad,Negative valence
我很郁闷,I am depressed,Negative valence
恐怕,I am afraid,Negative valence
我们感到痛苦,We feel miserable,Negative valence
我们感到沮丧,We feel frustrated,Negative valence
我们感到难过,We feel sad,Negative valence
我们感到沮丧,We feel depressed,Negative valence
我们感到害怕,We feel afraid,Negative valence
我们很痛苦,We are miserable,Negative valence
我们很沮丧,We are frustrated,Negative valence
我们都很伤心,We are sad,Negative valence
我们很沮丧,We are depressed,Negative valence
我们害怕,We are afraid,Negative valence
我感到开心,I feel happy,I
我很高兴,I feel pleased,I
我很高兴,I feel delighted,I
我感到满意,I feel satisfied,I
我觉得很兴奋,I feel excited,I
我很开心,I am happy,I
我很满意,I am pleased,I
我很高兴,I am delighted,I
我很满意,I am satisfied,I
我很兴奋,I am excited,I
我感到很痛苦,I feel miserable,I
我感到沮丧,I feel frustrated,I
我很难过,I feel sad,I
我感到沮丧,I feel depressed,I
我感到害怕,I feel afraid,I
我很痛苦,I am miserable,I
我烦了,I am frustrated,I
我很伤心,I am sad,I
我很郁闷,I am depressed,I
恐怕,I am afraid,I
我们感到高兴,We feel happy,WE
我们感到高兴,We feel pleased,WE
我们感到很高兴,We feel delighted,WE
我们感到满意,We feel satisfied,WE
我们感到兴奋,We feel excited,WE
我们很开心,We are happy,WE
我们很满意,We are pleased,WE
我们很高兴,We are delighted,WE
我们很满意,We are satisfied,WE
我们很兴奋,We are excited,WE
我们感到痛苦,We feel miserable,WE
我们感到沮丧,We feel frustrated,WE
我们感到难过,We feel sad,WE
我们感到沮丧,We feel depressed,WE
我们感到害怕,We feel afraid,WE
我们很痛苦,We are miserable,WE
我们很沮丧,We are frustrated,WE
我们都很伤心,We are sad,WE
我们很沮丧,We are depressed,WE
我们害怕,We are afraid,WE