I feel happy,Positive valence
I feel pleased,Positive valence
I feel delighted,Positive valence
I feel satisfied,Positive valence
I feel excited,Positive valence
I am happy,Positive valence
I am pleased,Positive valence
I am delighted,Positive valence
I am satisfied,Positive valence
I am excited,Positive valence
We feel happy,Positive valence
We feel pleased,Positive valence
We feel delighted,Positive valence
We feel satisfied,Positive valence
We feel excited,Positive valence
We are happy,Positive valence
We are pleased,Positive valence
We are delighted,Positive valence
We are satisfied,Positive valence
We are excited,Positive valence
I feel miserable,Negative valence
I feel frustrated,Negative valence
I feel sad,Negative valence
I feel depressed,Negative valence
I feel afraid,Negative valence
I am miserable,Negative valence
I am frustrated,Negative valence
I am sad,Negative valence
I am depressed,Negative valence
I am afraid,Negative valence
We feel miserable,Negative valence
We feel frustrated,Negative valence
We feel sad,Negative valence
We feel depressed,Negative valence
We feel afraid,Negative valence
We are miserable,Negative valence
We are frustrated,Negative valence
We are sad,Negative valence
We are depressed,Negative valence
We are afraid,Negative valence
I feel happy,I
I feel pleased,I
I feel delighted,I
I feel satisfied,I
I feel excited,I
I am happy,I
I am pleased,I
I am delighted,I
I am satisfied,I
I am excited,I
I feel miserable,I
I feel frustrated,I
I feel sad,I
I feel depressed,I
I feel afraid,I
I am miserable,I
I am frustrated,I
I am sad,I
I am depressed,I
I am afraid,I
We feel happy,WE
We feel pleased,WE
We feel delighted,WE
We feel satisfied,WE
We feel excited,WE
We are happy,WE
We are pleased,WE
We are delighted,WE
We are satisfied,WE
We are excited,WE
We feel miserable,WE
We feel frustrated,WE
We feel sad,WE
We feel depressed,WE
We feel afraid,WE
We are miserable,WE
We are frustrated,WE
We are sad,WE
We are depressed,WE
We are afraid,WE